time,open,high,low,close,volume
2018-01-01 20:00:00+00:00,1.73021,1.7335,1.72714,1.73218,7526.99
2018-01-02 00:00:00+00:00,1.73211,1.73216,1.7253,1.72543,17527.84
2018-01-02 04:00:00+00:00,1.72543,1.72737,1.72317,1.72726,21386.62
2018-01-02 08:00:00+00:00,1.72726,1.73235,1.72707,1.73226,36845.63
2018-01-02 12:00:00+00:00,1.73222,1.73477,1.73053,1.7338,37108.42
2018-01-02 16:00:00+00:00,1.73375,1.73795,1.73308,1.73601,30347.53
2018-01-02 20:00:00+00:00,1.73595,1.73695,1.73432,1.73589,16193.85
2018-01-03 00:00:00+00:00,1.73589,1.74152,1.73472,1.74026,19557.96
2018-01-03 04:00:00+00:00,1.74026,1.74117,1.73819,1.73819,24749.96
2018-01-03 08:00:00+00:00,1.73822,1.74008,1.73072,1.73142,33338.97
2018-01-03 12:00:00+00:00,1.73144,1.73161,1.72417,1.72532,37301.46
2018-01-03 16:00:00+00:00,1.72526,1.72595,1.72314,1.72384,29619.01
2018-01-03 20:00:00+00:00,1.72382,1.72649,1.72278,1.72605,16401.08
2018-01-04 00:00:00+00:00,1.72608,1.72892,1.72547,1.72596,18459.37
2018-01-04 04:00:00+00:00,1.72596,1.72641,1.72141,1.72142,23530.68
2018-01-04 08:00:00+00:00,1.72141,1.7286,1.72129,1.72727,32029.38
2018-01-04 12:00:00+00:00,1.72726,1.73001,1.72358,1.72408,38739.82
2018-01-04 16:00:00+00:00,1.72415,1.72523,1.72207,1.72317,28433.54
2018-01-04 20:00:00+00:00,1.72313,1.72439,1.72164,1.72321,16103.39
2018-01-05 00:00:00+00:00,1.7232,1.7287,1.72242,1.72635,17943.02
2018-01-05 04:00:00+00:00,1.72637,1.73074,1.7259,1.72831,22508.62
2018-01-05 08:00:00+00:00,1.72831,1.72863,1.723,1.72626,30198.28
2018-01-05 12:00:00+00:00,1.72627,1.7288,1.72457,1.726,45266.83
2018-01-05 16:00:00+00:00,1.72595,1.72669,1.72375,1.72375,26512.15
2018-01-05 20:00:00+00:00,1.72376,1.72577,1.7227,1.72472,11326.07
2018-01-07 20:00:00+00:00,1.72321,1.72727,1.72292,1.72725,6308.29
2018-01-08 00:00:00+00:00,1.72726,1.73007,1.72452,1.72803,16628.71
2018-01-08 04:00:00+00:00,1.72803,1.7301,1.72608,1.72915,22130.12
2018-01-08 08:00:00+00:00,1.72915,1.72992,1.72581,1.72794,30755.47
2018-01-08 12:00:00+00:00,1.72793,1.73289,1.72689,1.73287,36719.85
2018-01-08 16:00:00+00:00,1.73292,1.73332,1.72897,1.72971,26608.15
2018-01-08 20:00:00+00:00,1.72975,1.73098,1.72912,1.72966,13217.74
2018-01-09 00:00:00+00:00,1.72967,1.73007,1.72634,1.72679,20770.02
2018-01-09 04:00:00+00:00,1.72681,1.72876,1.72407,1.72614,24158.67
2018-01-09 08:00:00+00:00,1.72614,1.73149,1.72573,1.72884,37522.41
2018-01-09 12:00:00+00:00,1.72887,1.73052,1.72602,1.72933,36625.69
2018-01-09 16:00:00+00:00,1.72926,1.73106,1.72665,1.72963,30494.15
2018-01-09 20:00:00+00:00,1.72962,1.73249,1.72946,1.73211,16719.11
2018-01-10 00:00:00+00:00,1.73211,1.73254,1.72856,1.72906,21270.89
2018-01-10 04:00:00+00:00,1.72906,1.73093,1.72565,1.72652,27118.11
2018-01-10 08:00:00+00:00,1.7266,1.72729,1.72082,1.7251,45375.13
2018-01-10 12:00:00+00:00,1.7251,1.72699,1.72175,1.72435,46469.29
2018-01-10 16:00:00+00:00,1.72441,1.72539,1.72235,1.72382,34972.46
2018-01-10 20:00:00+00:00,1.72382,1.72402,1.7212,1.72184,21285.68
2018-01-11 00:00:00+00:00,1.72185,1.723,1.71415,1.71564,24815.4
2018-01-11 04:00:00+00:00,1.71563,1.71576,1.71108,1.71376,25221.94
